p,a1,a2,N1,N2,b1,b2,c1_id,c2_id,least_m_id,least_m_flip,shape4_id,shape5_id,shape4_flip,shape5_flip,fact22_id,fact23_id,fact33_id,fact22_flip,fact23_flip,fact33_flip,Jmax_conn_id,Jmax_conn_flip
7,2,9,10,64,0.755929,1.285714,-0.547856,1.303785,0,1,realized,realized,nonpositive,realized,False,True,True,False,False,False,0.7875,2.1702
7,2,10,10,66,0.755929,1.428571,-0.46719,1.223119,0,1,realized,realized,nonpositive,realized,False,True,True,False,False,False,0.6054,2.0626
7,2,11,10,68,0.755929,1.571429,-0.377964,1.133893,0,1,realized,realized,nonpositive,realized,False,True,True,False,False,False,0.5685,2.7436
7,2,12,10,70,0.755929,1.714286,-0.276689,1.032618,0,1,realized,realized,nonpositive,realized,False,True,True,False,False,False,0.6709,2.7051
7,2,13,10,72,0.755929,1.857143,-0.156558,0.912487,0,1,realized,realized,nonpositive,realized,False,True,True,False,True,True,0.5474,2.8376
7,2,14,10,74,0.755929,2.0,-0.0,0.755929,0,2,realized,realized,nonpositive,cap,False,True,True,False,False,True,0.6123,
7,2,15,10,76,0.755929,2.142857,0.377964,0.377964,0,2,realized,realized,nonpositive,cap,True,True,True,False,False,True,0.8331,
7,3,2,11,45,1.133893,0.285714,-0.859838,1.993731,0,,realized,realized,nonpositive,nonpositive,False,True,True,False,False,False,1.5411,
7,3,3,11,47,1.133893,0.428571,-0.808865,1.942758,0,,realized,realized,nonpositive,nonpositive,False,True,True,False,False,False,1.3413,
7,3,4,11,49,1.133893,0.571429,-0.755929,1.889822,0,,realized,realized,nonpositive,nonpositive,False,True,True,False,False,False,0.8296,
7,3,5,11,51,1.133893,0.714286,-0.700785,1.834678,0,,realized,realized,nonpositive,nonpositive,False,True,True,False,False,False,0.8088,
7,3,6,11,53,1.133893,0.857143,-0.64313,1.777023,0,,realized,realized,nonpositive,nonpositive,False,True,True,False,False,False,0.5144,
7,3,7,11,55,1.133893,1.0,-0.582587,1.716481,0,,realized,realized,nonpositive,nonpositive,False,True,True,False,False,False,0.4311,
7,3,8,11,57,1.133893,1.142857,-0.518674,1.652567,0,,realized,realized,nonpositive,nonpositive,False,True,True,False,False,False,0.3537,
7,3,9,11,59,1.133893,1.285714,-0.450754,1.584647,0,,realized,realized,nonpositive,nonpositive,False,True,True,False,False,False,0.3719,
7,3,10,11,61,1.133893,1.428571,-0.377964,1.511858,0,,realized,realized,nonpositive,nonpositive,False,True,True,False,False,False,0.2896,
7,3,11,11,63,1.133893,1.571429,-0.299079,1.432972,0,,realized,realized,nonpositive,nonpositive,False,True,True,False,False,False,0.1966,
7,3,12,11,65,1.133893,1.714286,-0.212247,1.34614,0,,realized,realized,nonpositive,nonpositive,False,True,True,False,False,False,0.3958,
7,3,13,11,67,1.133893,1.857143,-0.114438,1.248332,0,,realized,realized,nonpositive,nonpositive,False,True,True,False,False,False,0.2962,
7,3,14,11,69,1.133893,2.0,-0.0,1.133893,0,,realized,realized,nonpositive,nonpositive,False,True,True,False,False,False,0.615,
7,3,15,11,71,1.133893,2.142857,0.14437,0.989524,0,2,realized,realized,nonpositive,nonpositive,True,True,True,False,False,True,0.5132,
7,4,8,12,50,1.511858,1.142857,-0.4393,1.951158,0,,realized,realized,nonpositive,nonpositive,False,True,True,False,False,False,0.6576,
7,4,9,12,52,1.511858,1.285714,-0.377964,1.889822,0,,realized,realized,nonpositive,nonpositive,False,True,True,False,False,False,0.7319,
7,4,10,12,54,1.511858,1.428571,-0.313116,1.824974,0,,realized,realized,nonpositive,nonpositive,False,True,True,False,False,False,0.4945,
7,4,11,12,56,1.511858,1.571429,-0.244071,1.755929,0,,realized,realized,nonpositive,nonpositive,False,True,True,False,False,False,0.303,
7,4,12,12,58,1.511858,1.714286,-0.169891,1.681749,0,,realized,realized,nonpositive,nonpositive,False,True,True,False,False,False,0.285,
7,4,13,12,60,1.511858,1.857143,-0.089225,1.601083,0,,realized,realized,nonpositive,nonpositive,False,True,True,False,False,False,0.2035,
7,4,14,12,62,1.511858,2.0,-0.0,1.511858,0,,realized,realized,nonpositive,nonpositive,False,True,True,False,False,False,0.1327,
7,4,15,12,64,1.511858,2.142857,0.101275,1.410583,0,,realized,realized,nonpositive,nonpositive,True,True,True,False,False,False,0.1968,
7,4,16,12,66,1.511858,2.285714,0.221406,1.290451,0,,realized,realized,nonpositive,nonpositive,True,True,True,False,False,False,0.2489,
7,4,17,12,68,1.511858,2.428571,0.377964,1.133893,0,,realized,realized,nonpositive,nonpositive,True,True,True,False,False,False,0.2861,
7,4,18,12,70,1.511858,2.571429,0.755929,0.755929,0,2,realized,realized,nonpositive,nonpositive,True,True,True,False,False,True,0.4865,
7,5,13,13,51,1.889822,1.857143,-0.072789,1.962612,0,,realized,realized,nonpositive,nonpositive,False,True,True,False,False,False,0.496,
7,5,14,13,53,1.889822,2.0,-0.0,1.889822,0,,realized,realized,nonpositive,nonpositive,False,True,True,False,False,False,0.4409,
7,5,15,13,55,1.889822,2.142857,0.078886,1.810937,0,,realized,realized,nonpositive,nonpositive,True,True,True,False,False,False,0.4625,
7,5,16,13,57,1.889822,2.285714,0.165717,1.724105,0,,realized,realized,nonpositive,nonpositive,True,True,True,False,False,False,0.2161,
7,5,17,13,59,1.889822,2.428571,0.263526,1.626296,0,,realized,realized,nonpositive,nonpositive,True,True,True,False,False,False,0.2976,
7,5,18,13,61,1.889822,2.571429,0.377964,1.511858,0,,realized,realized,nonpositive,nonpositive,True,True,True,False,False,False,0.3167,
7,5,19,13,63,1.889822,2.714286,0.522334,1.367488,0,,realized,realized,nonpositive,nonpositive,True,True,True,False,False,False,0.2259,
7,6,18,14,50,2.267787,2.571429,0.288739,1.979048,0,,realized,realized,nonpositive,nonpositive,True,True,True,False,False,False,0.2288,
7,6,19,14,52,2.267787,2.714286,0.377964,1.889822,0,,realized,realized,nonpositive,nonpositive,True,True,True,False,False,False,0.2413,
7,6,20,14,54,2.267787,2.857143,0.47924,1.788547,0,,realized,realized,nonpositive,nonpositive,True,True,True,False,False,False,0.1269,
7,6,21,14,56,2.267787,3.0,0.599371,1.668416,0,,realized,realized,nonpositive,nonpositive,True,True,True,False,False,False,0.3015,
7,6,22,14,58,2.267787,3.142857,0.755929,1.511858,0,,realized,realized,nonpositive,nonpositive,True,True,True,False,False,False,0.3177,
7,6,23,14,60,2.267787,3.285714,1.133893,1.133893,0,,realized,realized,nonpositive,nonpositive,True,True,True,False,False,False,0.2837,
7,7,24,15,49,2.645751,3.428571,0.755929,1.889822,0,,realized,realized,nonpositive,nonpositive,True,True,True,False,False,False,0.1583,
7,7,25,15,51,2.645751,3.571429,0.900299,1.745453,0,,realized,realized,nonpositive,nonpositive,True,True,True,False,False,False,0.053,
7,8,29,16,44,3.023716,4.142857,1.133893,1.889822,0,,realized,realized,nonpositive,nonpositive,True,True,True,False,False,False,0.1687,
7,8,30,16,46,3.023716,4.285714,1.511858,1.511858,0,,realized,notfound,nonpositive,nonpositive,True,True,True,False,False,False,0.1399,
