# exact-arithmetic replay of Gomila's printed per-prism gate (BARRIER_CERTIFICATE.md eq. (1)), outward-rounded; source log sha256 2d010f70...05f4 @ a74738d
  77 | seam 0.002836329425 | Delta+ 3.895684e-05 | M- 4.132476 | Dz 8482 Dt 46605 mesh 33924 | spatial 0.500059 (replay 0.500059) | time 1.815584 (replay 1.815584) | gate margin +1.815584 (printed 1.815584) | C-B12 floor 3.632417 ok | cont ok | wind ok | PASS
  78 | seam 0.002875286265 | Delta+ 3.900212e-05 | M- 4.130534 | Dz 8468 Dt 46526 mesh 33868 | spatial 0.500059 (replay 0.500059) | time 1.814613 (replay 1.814613) | gate margin +1.814613 (printed 1.814613) | C-B12 floor 3.630475 ok | cont ok | wind ok | PASS
  79 | seam 0.002914288383 | Delta+ 3.904754e-05 | M- 4.128592 | Dz 8453 Dt 46447 mesh 33808 | spatial 0.500059 (replay 0.500059) | time 1.813641 (replay 1.813641) | gate margin +1.813641 (printed 1.813641) | C-B12 floor 3.628532 ok | cont ok | wind ok | PASS
  80 | seam 0.002953335925 | Delta+ 3.909311e-05 | M- 4.126648 | Dz 8439 Dt 46368 mesh 33752 | spatial 0.500059 (replay 0.500059) | time 1.812670 (replay 1.812670) | gate margin +1.812670 (printed 1.812670) | C-B12 floor 3.626589 ok | cont ok | wind ok | PASS
  81 | seam 0.002992429040 | Delta+ 3.913799e-05 | M- 4.124705 | Dz 8424 Dt 46290 mesh 33692 | spatial 0.500059 (replay 0.500059) | time 1.811698 (replay 1.811698) | gate margin +1.811698 (printed 1.811698) | C-B12 floor 3.624645 ok | cont ok | wind ok | PASS
  82 | seam 0.003031567031 | Delta+ 3.918386e-05 | M- 4.122760 | Dz 8410 Dt 46211 mesh 33636 | spatial 0.500059 (replay 0.500059) | time 1.810725 (replay 1.810725) | gate margin +1.810725 (printed 1.810725) | C-B12 floor 3.622701 ok | cont ok | wind ok | PASS
  83 | seam 0.003070750890 | Delta+ 3.922988e-05 | M- 4.120815 | Dz 8396 Dt 46132 mesh 33580 | spatial 0.500060 (replay 0.500060) | time 1.809753 (replay 1.809753) | gate margin +1.809753 (printed 1.809753) | C-B12 floor 3.620755 ok | cont ok | wind ok | PASS
  84 | seam 0.003109980768 | Delta+ 3.927520e-05 | M- 4.118869 | Dz 8381 Dt 46054 mesh 33520 | spatial 0.500060 (replay 0.500060) | time 1.808780 (replay 1.808780) | gate margin +1.808780 (printed 1.808780) | C-B12 floor 3.618810 ok | cont ok | wind ok | PASS
  85 | seam 0.003149255963 | Delta+ 3.932151e-05 | M- 4.116923 | Dz 8367 Dt 45975 mesh 33464 | spatial 0.500060 (replay 0.500060) | time 1.807807 (replay 1.807807) | gate margin +1.807807 (printed 1.807807) | C-B12 floor 3.616863 ok | cont ok | wind ok | PASS
  86 | seam 0.003188577478 | Delta+ 3.936713e-05 | M- 4.114976 | Dz 8353 Dt 45897 mesh 33408 | spatial 0.500060 (replay 0.500060) | time 1.806833 (replay 1.806833) | gate margin +1.806833 (printed 1.806833) | C-B12 floor 3.614916 ok | cont ok | wind ok | PASS
  87 | seam 0.003227944607 | Delta+ 3.941375e-05 | M- 4.113029 | Dz 8338 Dt 45818 mesh 33348 | spatial 0.500060 (replay 0.500060) | time 1.805859 (replay 1.805859) | gate margin +1.805859 (printed 1.805859) | C-B12 floor 3.612969 ok | cont ok | wind ok | PASS
  88 | seam 0.003267358359 | Delta+ 3.945967e-05 | M- 4.111080 | Dz 8324 Dt 45740 mesh 33292 | spatial 0.500060 (replay 0.500060) | time 1.804885 (replay 1.804885) | gate margin +1.804885 (printed 1.804885) | C-B12 floor 3.611020 ok | cont ok | wind ok | PASS
  89 | seam 0.003306818026 | Delta+ 3.950660e-05 | M- 4.109132 | Dz 8310 Dt 45661 mesh 33236 | spatial 0.500060 (replay 0.500060) | time 1.803911 (replay 1.803911) | gate margin +1.803911 (printed 1.803911) | C-B12 floor 3.609071 ok | cont ok | wind ok | PASS
